public_reference,name,primary_category,subcategory,address_line_1,postal_area,eircode,phone,email,website_url,description,status,source_type,verification_status,source_name,source_url,retrieved_date,review_notes
NAV-POI-000011,Carrickmines Luas Stop,transport_stop,luas_stop,Carrickmines,Dublin 18,,,,,Luas Green Line stop,active,official_source,verified,Luas,https://www.luas.ie/luas-green-line-stops/,2026-07-13,Coordinates pending structured geospatial import
NAV-POI-000012,Laughanstown Luas Stop,transport_stop,luas_stop,Laughanstown,Dublin 18,,,,,Luas Green Line stop,active,official_source,verified,Luas,https://www.luas.ie/luas-green-line-stops/,2026-07-13,Coordinates pending structured geospatial import
NAV-POI-000013,Cherrywood Luas Stop,transport_stop,luas_stop,Cherrywood,Dublin 18,,,,,Luas Green Line stop,active,official_source,verified,Luas,https://www.luas.ie/luas-green-line-stops/,2026-07-13,Coordinates pending structured geospatial import
NAV-POI-000014,Beacon Hospital,healthcare,hospital,"Beacon Court, Sandyford Business District",Dublin 18,,,,,Private hospital and major local destination,active,organisation_website,review_required,Beacon Hospital,https://www.beaconhospital.ie/,2026-07-13,Address and coordinates to be confirmed from organisation source
NAV-POI-000015,Haven Farmers Pharmacy Beacon Court,healthcare,pharmacy,"Beacon Court, Sandyford",Dublin 18,,,,,Community pharmacy and health services,active,organisation_website,verified,Haven Farmers Pharmacy,https://www.farmerspharmacy.ie/beacon-court,2026-07-13,Opening hours require separate verification
NAV-POI-000016,Sandyford Healthcare,healthcare,clinic,"Unit D/E Time Place, 21 Corrig Road, Sandyford Business Park",Dublin 18,D18 R89T,+353 1 5676999,info@sandyfordhealthcare.ie,https://www.sandyfordhealthcare.ie,Local healthcare provider,active,trusted_partner_directory,verified,Sandyford Business District,https://www.sandyford.ie/business-directory/s,2026-07-13,Coordinates pending geocoding
NAV-POI-000017,Clayton Hotel Leopardstown,accommodation,hotel,Central Park,Dublin 18,D18 K2P1,+353 1 293 5000,info.leopardstown@claytonhotels.com,https://www.claytonhotels.com/leopardstown,Hotel in Central Park,active,trusted_partner_directory,verified,Sandyford Business District,https://www.sandyford.ie/business-directory/category/restaurants,2026-07-13,Eircode formatting should be confirmed
NAV-POI-000018,Bay and Sorrel Restaurant,food_drink,restaurant,"Clayton Hotel Leopardstown, Central Park",Dublin 18,D18 K2P1,+353 1 293 5000,info.leopardstown@claytonhotels.com,https://www.claytonhotels.com/leopardstown/dining/,Hotel restaurant,active,trusted_partner_directory,verified,Sandyford Business District,https://www.sandyford.ie/business-directory/category/restaurants,2026-07-13,Opening hours require separate verification
NAV-POI-000019,China Sichuan,food_drink,restaurant,"Unit R2 The Forum, Ballymoss Road, Sandyford Business Park",Dublin 18,D18 XH28,+353 1 293 5100,info@china-sichuan.ie,https://www.china-sichuan.ie,Restaurant in Sandyford Business Park,active,trusted_partner_directory,verified,Sandyford Business District,https://www.sandyford.ie/business-directory/category/restaurants,2026-07-13,Opening hours require separate verification
NAV-POI-000020,Circle K Sandyford Shop and Café,food_drink,cafe_convenience,"Units 1-3, The Atrium, Sandyford Business Park",Dublin 18,D18 E5Y8,+353 1 202 8888,31894@circlekeurope.com,https://www.circlek.ie/station/circle-k-sandyford,Convenience shop and café,active,trusted_partner_directory,verified,Sandyford Business District,https://www.sandyford.ie/business-directory/category/restaurants,2026-07-13,Opening hours require separate verification
NAV-POI-000021,Sandyford Business District,public_service,business_district_office,"Five South County, South County Business Park, Leopardstown",Dublin 18,D18 H5H9,+353 1 544 1313,operations@sandyford.ie,https://www.sandyford.ie,Business district management organisation,active,organisation_website,verified,Sandyford Business District,https://www.sandyford.ie/business-directory/s,2026-07-13,Primary public-facing office location should be confirmed
NAV-POI-000022,Sandyford Business Centre,professional_service,business_centre,"Arena House, Arena Road, Sandyford Business Park",Dublin 18,,+353 1 213 0500,,,Business centre,active,trusted_partner_directory,verified,Sandyford Business District,https://www.sandyford.ie/business-directory/s,2026-07-13,"Website, Eircode and coordinates pending"
NAV-POI-000023,Bank of Ireland Sandyford,financial_service,bank,"B2-R3, Beacon South Quarter, Sandyford Business Park",Dublin 18,D18 NH50,+353 1 293 1971,contactus@boi.com,https://www.bankofireland.com/branch-locator/,Bank branch,active,trusted_partner_directory,verified,Sandyford Business District,https://www.sandyford.ie/business-directory/b,2026-07-13,Branch status and opening hours require confirmation
NAV-POI-000024,Ace Tyres and Exhausts,retail_service,automotive_service,"Heather Road, Sandyford Business Park",Dublin 18,D18 H9N1,+353 1 295 3829,info@acetyres.ie,https://www.acetyres.ie,Automotive service business,active,trusted_partner_directory,verified,Sandyford Business District,https://www.sandyford.ie/business-directory,2026-07-13,Coordinates pending geocoding
NAV-POI-000025,Active Workwear Ireland,retail,workwear,"Unit B, Timeplace, 21 Corrig Road, Sandyford Business Park",Dublin 18,D18 E4CR,+353 1 517 0196,info@activeworkwear.ie,https://www.activeworkwear.ie/,Workwear retailer,active,trusted_partner_directory,verified,Sandyford Business District,https://www.sandyford.ie/business-directory/category/retail,2026-07-13,Coordinates pending geocoding
